,Dates,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
78,2020-04-17,11825.0,2041.0,486.0,898216.4466458581,11520.79678714188,2179.756566999797
79,2020-04-18,12738.0,2463.0,521.0,897261.1864709888,12074.933514080669,2580.880014930532
80,2020-04-19,14202.0,2854.0,559.0,896261.1166724614,12654.59951831539,3001.2838092231914
81,2020-04-20,14674.0,3273.0,592.0,895214.2813986726,13260.874965164598,3441.8436361627614
82,2020-04-21,15460.0,3975.0,645.0,894118.6528715778,13894.869589267011,3903.477539155211
83,2020-04-22,16319.0,4370.0,681.0,892972.1313866909,14557.722694581531,4387.145918727496
84,2020-04-23,17344.0,5012.0,721.0,891772.5453130852,15250.603154387212,4893.851532527557
85,2020-04-24,18252.0,5498.0,780.0,890517.6510933924,15974.709411283297,5424.639495324322
86,2020-04-25,19519.0,5939.0,825.0,889205.1332438029,16731.26947718919,5980.597279007703
87,2020-04-26,20486.0,6523.0,881.0,887832.6043540669,17521.540933344477,6562.854712588597
88,2020-04-27,21375.0,7137.0,939.0,886397.605087492,18346.810930308904,7172.583982198897
89,2020-04-28,22569.0,7747.0,1008.0,884897.6041809461,19208.396187962397,7810.999631091461
90,2020-04-29,23546.0,8437.0,1079.0,883329.9984448546,20107.64299550504,8479.358559640154
91,2020-04-30,24641.0,9068.0,1154.0,881692.112763203,21045.927211457118,9178.960025339815
92,2020-05-01,26027.0,10007.0,1223.0,879981.2000935347,22024.65426365905,9911.145642806274
93,2020-05-02,27557.0,10819.0,1323.0,878194.4357086497,23045.257308849243,10677.306982500977
94,2020-05-03,29339.0,11775.0,1391.0,876328.9127125313,24109.18295288056,11478.904334588136
95,2020-05-04,32024.0,12847.0,1566.0,900000.0,32024.0,12847.0
96,2020-05-05,33565.0,14142.0,1693.0,897145.1006304817,33595.785458924285,14130.113910593944
97,2020-05-06,35871.0,15331.0,1785.0,894160.234769571,35234.75093317701,15476.014297252117
98,2020-05-07,37686.0,16776.0,1889.0,891041.0379657078,36942.61953345752,16887.34250083465
99,2020-05-08,39823.0,17887.0,1985.0,887782.9003928045,38721.24908376375,18366.85052343157
100,2020-05-09,41406.0,19301.0,2101.0,884381.114462598,40572.51322292672,19917.37231447528
101,2020-05-10,43980.0,20969.0,2212.0,880831.0850216014,42498.12538536111,21541.789593037476
102,2020-05-11,45925.0,22549.0,2294.0,877128.3293511055,44499.63880106538,23243.03184782918
103,2020-05-12,47457.0,24420.0,2415.0,873268.4771671777,46578.44649562165,25024.076337200742
104,2020-05-13,49104.0,26400.0,2551.0,869247.2706206624,48735.78129019582,26887.94808914181
105,2020-05-14,51379.0,27969.0,2649.0,865060.5642971811,50972.7158015375,28837.719901281383
106,2020-05-15,52773.0,30258.0,2753.0,860704.3252171323,53290.16244197997,30876.51234088773
107,2020-05-16,53553.0,34224.0,2871.0,856174.6328356912,55688.873419440315,33007.49374486848
108,2020-05-17,55878.0,36795.0,3025.0,851467.6790428101,58169.440737419274,35233.88021977054
109,2020-05-18,57939.0,39233.0,3156.0,900000.0,57939.0,39233.0
110,2020-05-19,60864.0,42309.0,3302.0,894471.9239869529,60519.47280126487,42180.60321178243
111,2020-05-20,63172.0,45422.0,3434.0,888735.5709689377,63177.84582731702,45258.58320374548
112,2020-05-21,66089.0,48553.0,3584.0,882788.4641454398,65912.85510368113,48470.680750878986
113,2020-05-22,69244.0,51824.0,3726.0,876628.3502141063,68722.93207403785,51820.71771185595
114,2020-05-23,73170.0,54385.0,3868.0,870253.3117387001,71606.1540458182,55312.53421548175
115,2020-05-24,76820.0,57692.0,4024.0,863662.1228255803,74560.10932153404,58949.76785288567
116,2020-05-25,80072.0,60706.0,4172.0,856854.2491339162,77581.89719492117,62735.853671162666
117,2020-05-26,82172.0,64277.0,4344.0,849829.8478756873,80668.12795093941,66674.0241733733
118,2020-05-27,85803.0,67749.0,4534.0,842589.7678156839,83814.92286577239,70767.3093185438
